number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
96,1.7562287117513602,2026-02-12 23:47:38.266577,2026-02-12 23:48:00.121496,0 days 00:00:21.854919,0.682657439078375,598,7.202662630866975,depthwise,0.005524993533311195,3,8,,4.523228360023789,0.13355231667603887,45.70709641895141,0.9508923977687271,COMPLETE
97,1.7570152295574948,2026-02-12 23:47:39.985317,2026-02-12 23:48:00.380631,0 days 00:00:20.395314,0.6826299239177387,598,6.202042415256362,lossguide,0.012277553755397562,3,7,389.0,31.264643201928788,0.016339496709435603,16.29822098942509,0.9228739365207285,COMPLETE
98,1.7554693824487695,2026-02-12 23:47:41.692751,2026-02-12 23:48:02.592373,0 days 00:00:20.899622,0.6616213443318579,529,6.220300724880118,depthwise,0.011486740013686934,3,8,,4.269386210700167,0.00744913779978335,45.861773600759186,0.8950787507944853,COMPLETE
99,1.7598991558526633,2026-02-12 23:47:48.890755,2026-02-12 23:48:09.615383,0 days 00:00:20.724628,0.6951326799516551,600,6.806191041450517,depthwise,0.008446334332074774,3,7,,27.969453043627507,0.11195550183863141,0.37354511497947823,0.9254081663743341,PRUNED
100,1.756179624137924,2026-02-12 23:47:48.995777,2026-02-12 23:48:08.148371,0 days 00:00:19.152594,0.6846563667002749,605,6.6244424558743304,depthwise,0.014723444320884746,3,8,,34.632865198802044,0.16703014768853372,19.890180596989815,0.9256780180867838,COMPLETE
101,1.7576421329905922,2026-02-12 23:47:51.369860,2026-02-12 23:48:11.644145,0 days 00:00:20.274285,0.6944081871146063,602,6.214911296319068,depthwise,0.011436238818393169,3,7,,34.54359352265502,0.00894278029594557,14.855916519552407,0.9255563587013178,COMPLETE
102,1.7588940970543159,2026-02-12 23:47:56.998482,2026-02-12 23:48:17.677310,0 days 00:00:20.678828,0.6956579585952753,492,6.196296578245869,lossguide,0.0152020421141315,2,8,507.0,33.88437787101478,1.808494121287112,30.221711893595565,0.9508093167566449,COMPLETE
103,1.7740272970002309,2026-02-12 23:47:57.654637,2026-02-12 23:48:23.854248,0 days 00:00:26.199611,0.6858212725429927,642,6.711849517177029,lossguide,0.014914461578867529,2,8,494.0,1.5669070065060926,0.1688969094179096,1.2506784318367201,0.6460729103712626,PRUNED
104,1.760291772655498,2026-02-12 23:48:00.216628,2026-02-12 23:48:20.933902,0 days 00:00:20.717274,0.7103213623864622,384,6.680391098300035,lossguide,0.014664381457151111,2,8,393.0,37.2839132473471,0.18337185024297048,0.5112269971556628,0.9211556674658749,PRUNED
105,1.7600832775763695,2026-02-12 23:48:00.501969,2026-02-12 23:48:33.654481,0 days 00:00:33.152512,0.6042035518118681,643,6.561042800193922,lossguide,0.015147355192696423,2,8,486.0,1.5843271685675924,1.759916947869711,30.503921483387153,0.8306562974955373,PRUNED
106,1.7759599179984549,2026-02-12 23:48:02.657015,2026-02-12 23:48:38.712280,0 days 00:00:36.055265,0.7129406341853929,531,6.279769347402745,lossguide,0.008579291707157368,2,8,314.0,6.712589874253067,0.004520138624651295,76.37773872877366,0.6488117063314489,PRUNED
107,1.7742658136758045,2026-02-12 23:48:08.211228,2026-02-12 23:48:44.375411,0 days 00:00:36.164183,0.7073232109772959,642,6.37671125206529,lossguide,0.00845533070690757,2,8,503.0,1.678952133712373,0.006628510162010684,29.354252340435053,0.6397872789766477,PRUNED
108,1.759538633157459,2026-02-12 23:48:09.683626,2026-02-12 23:48:29.680859,0 days 00:00:19.997233,0.7094187107371899,482,6.570844613083268,depthwise,0.012588430330669682,2,8,,1.721607811607179,0.04501451245658473,28.197581514095088,0.870294987682532,PRUNED
109,1.7575155332149222,2026-02-12 23:48:11.706289,2026-02-12 23:48:32.525121,0 days 00:00:20.818832,0.7142599431991686,494,7.9385159852227085,lossguide,0.01445104118802438,2,8,329.0,1.6170579393780196,2.59038879975105,29.82896962691908,0.9004912834959906,COMPLETE
110,1.7629785598294843,2026-02-12 23:48:17.741113,2026-02-12 23:48:40.828970,0 days 00:00:23.087857,0.6601186703775772,642,5.512321929809606,depthwise,0.010700840808823994,5,8,,1.6113204321410914,0.006627349752353494,78.0705929860564,0.8317839138363814,PRUNED
111,1.7566338510797785,2026-02-12 23:48:21.022462,2026-02-12 23:48:42.237168,0 days 00:00:21.214706,0.6062491756799229,639,7.988161169038269,depthwise,0.010637973010353357,5,8,,6.870867919581403,0.0002681318834284628,79.37179063850755,0.8317229817324712,COMPLETE
112,1.7617518131607943,2026-02-12 23:48:23.944017,2026-02-12 23:48:44.292184,0 days 00:00:20.348167,0.6624770233085014,527,5.483423231163209,depthwise,0.01315936924992507,4,9,,6.941071642749877,0.0058740194426256335,27.997150366484902,0.9004248347724676,PRUNED
113,1.7565172964490527,2026-02-12 23:48:29.771596,2026-02-12 23:48:49.244302,0 days 00:00:19.472706,0.6594231120215062,527,8.03859889839955,depthwise,0.016906965998172804,4,9,,6.984087467242358,0.006140408993078888,71.78598080626705,0.9020477662828376,COMPLETE
114,1.7580856417310677,2026-02-12 23:48:32.586262,2026-02-12 23:48:54.439031,0 days 00:00:21.852769,0.5790233344257462,532,5.58491938590689,depthwise,0.010766830536131177,4,9,,2.3334804714394406,0.00023991756468560774,82.64607384671588,0.8909180227001985,COMPLETE
115,1.75851438208077,2026-02-12 23:48:33.732165,2026-02-12 23:48:57.555222,0 days 00:00:23.823057,0.5797925913729604,527,5.589543485699487,depthwise,0.007246156913205967,4,9,,6.924909481536623,2.6068024243633897e-05,85.17323122087136,0.89051972687461,COMPLETE
116,1.7592544279523876,2026-02-12 23:48:38.782910,2026-02-12 23:49:01.769345,0 days 00:00:22.986435,0.6562366853332039,727,5.5019091310383095,depthwise,0.0072646339514190455,5,9,,0.9872341376665471,0.00021885089001118295,19.161864725513283,0.8934050935217366,PRUNED
117,1.7576476615409693,2026-02-12 23:48:40.899526,2026-02-12 23:49:03.448928,0 days 00:00:22.549402,0.8186320632421662,463,8.54910934789844,depthwise,0.007150241403267774,4,9,,2.285470731735627,2.6710264244621844e-05,18.384195740383237,0.8897214188615241,COMPLETE
118,1.757296757623602,2026-02-12 23:48:42.326414,2026-02-12 23:49:04.559623,0 days 00:00:22.233209,0.658368061230071,274,6.955785061864132,depthwise,0.009251335543288464,4,7,,4.7880569523149985,0.0002103765772599696,37.39334225145869,0.8560623618164077,COMPLETE
119,1.7559884281915086,2026-02-12 23:48:44.366427,2026-02-12 23:49:05.265071,0 days 00:00:20.898644,0.6500209006017251,771,8.589776437102433,depthwise,0.00911052173743308,1,7,,4.211410478525056,3.304086599388543e-05,38.1550360676573,0.8877026060165768,COMPLETE
120,1.7551909730850273,2026-02-12 23:48:44.475334,2026-02-12 23:49:05.175874,0 days 00:00:20.700540,0.5016611842678399,734,8.559225750329539,depthwise,0.009084551246464326,3,7,,3.909971538226205,1.1327003010884829e-05,37.851028975672605,0.8892870099485597,COMPLETE
121,1.7541081395415694,2026-02-12 23:48:49.306214,2026-02-12 23:49:10.880017,0 days 00:00:21.573803,0.5853021222140743,726,8.60570655164363,depthwise,0.007098496010160713,1,7,,3.0893626760848862,9.91922262143093,60.01040413101059,0.8503516128177446,COMPLETE
122,1.7631266888209383,2026-02-12 23:48:54.525615,2026-02-12 23:49:21.879924,0 days 00:00:27.354309,0.5189870325055911,726,8.523710836452507,depthwise,0.0071591019483215725,1,7,,4.9856991083740985,2.768039346267216e-05,40.58694102667378,0.5905291884262913,PRUNED
123,1.7572333087653575,2026-02-12 23:48:57.620114,2026-02-12 23:49:18.428850,0 days 00:00:20.808736,0.5193662687520323,729,6.957383604647526,depthwise,0.009460678098022651,3,7,,4.083045566924499,1.4338441808990697e-05,38.363810685816226,0.8531092073807207,COMPLETE
124,1.755146470364896,2026-02-12 23:49:01.835182,2026-02-12 23:49:24.227541,0 days 00:00:22.392359,0.5205364665496403,780,8.601136028625,depthwise,0.005674042962497125,3,7,,3.0795050376585626,1.240764168631575e-05,36.89097259806555,0.8508054585354763,COMPLETE
125,1.7567499115306913,2026-02-12 23:49:03.534353,2026-02-12 23:49:24.569824,0 days 00:00:21.035471,0.5232418298171247,676,7.366439911866072,depthwise,0.009195763058457795,3,7,,4.011413858630424,0.0004968891959963245,37.79222776361855,0.8536076259899721,COMPLETE
126,1.7551123321739592,2026-02-12 23:49:04.659248,2026-02-12 23:49:27.484859,0 days 00:00:22.825611,0.5226904668020893,800,7.40246653236808,depthwise,0.006528840643204761,3,7,,4.126255563759466,7.238674479761377e-05,37.446989845589584,0.8529832306669859,COMPLETE
127,1.7591889432634145,2026-02-12 23:49:05.237357,2026-02-12 23:49:25.669319,0 days 00:00:20.431962,0.5055842075211797,558,9.293056225049588,depthwise,0.006359709576496296,7,7,,3.0944139316458075,5.730303011432163e-05,0.11880331533185835,0.8708201963261536,PRUNED
128,1.754349465377146,2026-02-12 23:49:05.359249,2026-02-12 23:49:28.012913,0 days 00:00:22.653664,0.502539782140473,784,7.323080342064085,depthwise,0.006452722094765937,3,7,,3.120877874473647,9.23807767263901,52.68579504108786,0.8716357440377462,COMPLETE
129,1.7553684025625318,2026-02-12 23:49:10.967447,2026-02-12 23:49:32.004877,0 days 00:00:21.037430,0.5014525302536755,706,9.299992029205153,depthwise,0.006381367535710949,1,7,,3.7476008253242536,5.87302960255598,55.56058206944058,0.8741470029435183,COMPLETE
130,1.75647490282594,2026-02-12 23:49:18.491028,2026-02-12 23:49:39.381901,0 days 00:00:20.890873,0.5031742806744045,707,9.312826812740797,depthwise,0.00788058032495397,1,7,,3.1192219547891797,5.768944393548541,54.69898880148625,0.8738129271343991,COMPLETE
131,1.7564539142912536,2026-02-12 23:49:21.973591,2026-02-12 23:49:42.677135,0 days 00:00:20.703544,0.5042119574757826,673,9.732747802314327,depthwise,0.00644316645869527,7,6,,3.7807943270600526,6.4640919737607945,58.79227769522529,0.8692754011732896,COMPLETE
132,1.7543594007449408,2026-02-12 23:49:24.296654,2026-02-12 23:49:46.410426,0 days 00:00:22.113772,0.5023637943130365,781,9.199773515583836,depthwise,0.0063710702320278504,8,6,,3.132453888040648,5.784337333272197,51.96179992775476,0.8394690956169917,COMPLETE
133,1.7554779773144753,2026-02-12 23:49:24.694807,2026-02-12 23:49:45.222282,0 days 00:00:20.527475,0.5056253177012869,777,9.171124258523257,depthwise,0.006530549225401424,0,6,,3.026693308136609,6.785172031417317,56.07004733192162,0.8704405717591427,COMPLETE
134,1.7574869069354246,2026-02-12 23:49:25.733321,2026-02-12 23:49:44.692740,0 days 00:00:18.959419,0.5466631291090277,706,9.77050514234909,depthwise,0.005654088167212056,8,6,,3.156821646103393,6.074291847942843,49.284453376567114,0.907605362028145,COMPLETE
135,1.7541123345950553,2026-02-12 23:49:27.583820,2026-02-12 23:49:50.546340,0 days 00:00:22.962520,0.547604483107382,784,7.866403770411042,depthwise,0.005621480529385371,7,6,,3.1282111185142134,1.1103265587753387e-05,54.990093182052796,0.8425578253944792,COMPLETE
136,1.7539322050321715,2026-02-12 23:49:28.138870,2026-02-12 23:49:50.829544,0 days 00:00:22.690674,0.5027034793738235,783,7.842946769358408,depthwise,0.006367012174020089,0,6,,3.2370642875865787,9.601527915050951,57.822486320380854,0.8033231359489968,COMPLETE
137,1.754735884979425,2026-02-12 23:49:32.065548,2026-02-12 23:49:54.774818,0 days 00:00:22.709270,0.55028959087427,789,9.700487038824889,depthwise,0.005446091929636269,7,6,,3.324691558427459,7.447436590088664,59.97986873725399,0.8395042545596051,COMPLETE
138,1.7545665111333495,2026-02-12 23:49:39.466776,2026-02-12 23:50:00.352800,0 days 00:00:20.886024,0.5539934275823107,782,9.629358634726554,depthwise,0.005658054417548421,7,6,,3.0004458638547518,9.926793265697215,59.10762063817933,0.8412828530911581,COMPLETE
139,1.7528923075552723,2026-02-12 23:49:42.738985,2026-02-12 23:50:04.654816,0 days 00:00:21.915831,0.5543298453964927,782,7.832331662041009,depthwise,0.005716146272888001,0,6,,3.3611197815311615,8.816481514840575,21.50355286769426,0.8440652999731203,COMPLETE
140,1.7554010543861007,2026-02-12 23:49:44.789438,2026-02-12 23:50:08.546939,0 days 00:00:23.757501,0.5585886753849263,784,7.547693759633616,depthwise,0.005276876870788695,0,6,,2.6261065083976103,1.3548998008386419e-05,21.226969469241947,0.8092032677382408,COMPLETE
141,1.754909154864062,2026-02-12 23:49:45.314351,2026-02-12 23:50:06.838566,0 days 00:00:21.524215,0.5266178548423209,786,8.160868123880473,depthwise,0.005795770420559115,5,7,,2.554491994216608,1.3561764908315621e-05,23.533821231914335,0.8408918685116025,COMPLETE
142,1.754283517527559,2026-02-12 23:49:46.495943,2026-02-12 23:50:09.442027,0 days 00:00:22.946084,0.5527649492412937,740,7.519801859555356,depthwise,0.00582557157879762,8,6,,0.12065573158024585,9.795673309835626,63.103313992723464,0.8417579279501644,COMPLETE
143,1.7550121951305617,2026-02-12 23:49:50.615257,2026-02-12 23:50:14.856992,0 days 00:00:24.241735,0.5547666708407828,790,7.865405427336726,depthwise,0.0053141338957698545,9,6,,2.476196197011459,9.089946496187638,64.54761203229505,0.8041417172113681,COMPLETE
144,1.755136561265529,2026-02-12 23:49:50.913412,2026-02-12 23:50:14.620767,0 days 00:00:23.707355,0.5246483641655107,788,7.835315526887453,depthwise,0.005685914396036639,0,6,,2.585368215578047,8.566407231909025,66.43400785182253,0.7782733706737884,COMPLETE
145,1.7551439961638022,2026-02-12 23:49:54.839091,2026-02-12 23:50:16.912465,0 days 00:00:22.073374,0.5279732299687521,788,9.600829995581003,depthwise,0.005000748657482071,0,6,,2.5478727916019186,9.504635654887666,64.82527973879411,0.8168673652632706,COMPLETE
146,1.7558867932828277,2026-02-12 23:50:00.438102,2026-02-12 23:50:22.659223,0 days 00:00:22.221121,0.5478777640160907,789,9.634096907270349,depthwise,0.005086964656552064,0,6,,2.6046211697176056,3.965171426701043,95.86002537327934,0.8141495506934934,COMPLETE
147,1.7561176311642375,2026-02-12 23:50:04.720653,2026-02-12 23:50:26.718646,0 days 00:00:21.997993,0.553724381494586,766,9.656913906626189,depthwise,0.005238077761635218,0,5,,2.5034229844518663,9.97961489035111,65.52074155669138,0.8031108373470065,COMPLETE
148,1.7565901692833923,2026-02-12 23:50:06.899274,2026-02-12 23:50:29.656699,0 days 00:00:22.757425,0.5553728349584844,790,9.570225306301785,depthwise,0.0052516572447184546,0,5,,2.608274058774303,9.576077849835677,62.27641801896997,0.7788797711495167,COMPLETE
149,1.7565416500452005,2026-02-12 23:50:08.614860,2026-02-12 23:50:34.880047,0 days 00:00:26.265187,0.5523440298737647,767,9.503731463911498,depthwise,0.005004282953461008,0,5,,2.621951349037247,3.6428205199200066,71.35421384491413,0.7786986283173066,COMPLETE
150,1.756039869465236,2026-02-12 23:50:09.508135,2026-02-12 23:50:32.221062,0 days 00:00:22.712927,0.5506439719679906,764,9.543618262601685,depthwise,0.005011852218401392,0,5,,0.1569528295663024,4.0611945461889265,61.790612846414916,0.7794119491978646,COMPLETE
151,1.7573127694975863,2026-02-12 23:50:14.689455,2026-02-12 23:50:37.312958,0 days 00:00:22.623503,0.5497365918095709,763,9.552961876522549,depthwise,0.005066902781585674,0,5,,0.231398801885291,3.5961069613478744,63.00652188963864,0.8196009035058927,PRUNED
152,1.756854533972059,2026-02-12 23:50:14.980908,2026-02-12 23:50:37.210980,0 days 00:00:22.230072,0.5890372379069807,763,9.556611124303682,depthwise,0.005008145630673714,0,5,,0.11402185166032032,3.8735592979945888,92.35836783358631,0.8177767529748581,COMPLETE
153,1.756235947074154,2026-02-12 23:50:16.998229,2026-02-12 23:50:37.877165,0 days 00:00:20.878936,0.5895543526782313,766,9.633368716540142,depthwise,0.00618687181899653,8,5,,3.4694972698905064,3.7448911341317315,97.96552400716722,0.8230609938359573,COMPLETE
154,1.7566569270556371,2026-02-12 23:50:22.745342,2026-02-12 23:50:44.923451,0 days 00:00:22.178109,0.5689431175682806,766,9.497537009786603,depthwise,0.006223076621240287,8,5,,0.15556935576672717,3.088361876969786,50.84196083553041,0.8232984866194055,COMPLETE
155,1.7555956868568194,2026-02-12 23:50:26.802569,2026-02-12 23:50:49.094056,0 days 00:00:22.291487,0.5670883894599564,762,8.371715979259166,depthwise,0.0061697754765846075,8,5,,0.10360210234666188,2.8974461332138963,49.48017102743744,0.8438024202183906,COMPLETE
156,1.7563093053975067,2026-02-12 23:50:29.743208,2026-02-12 23:50:51.559569,0 days 00:00:21.816361,0.58754759751108,742,9.099057490377481,depthwise,0.0060590041465043275,8,5,,0.21311221090314805,3.3771487404418408,51.276980873506616,0.821373626740987,COMPLETE
157,1.7568958529239251,2026-02-12 23:50:32.306849,2026-02-12 23:50:55.295081,0 days 00:00:22.988232,0.5879704991435457,741,9.962335472226808,lossguide,0.006123443822746432,8,5,53.0,3.4872857291748676,3.114926438794549,51.09833831029196,0.8248118057796511,COMPLETE
158,1.7547070938789076,2026-02-12 23:50:34.942388,2026-02-12 23:50:58.316776,0 days 00:00:23.374388,0.569477903446555,747,8.028005145719103,depthwise,0.0060748293305819155,8,6,,3.435488062091364,2.229257448036152,93.79708310891067,0.8375900630375409,COMPLETE
159,1.7540182207694883,2026-02-12 23:50:37.282124,2026-02-12 23:50:59.978736,0 days 00:00:22.696612,0.5757621055157363,741,8.333934949932408,depthwise,0.006093182965429675,7,6,,3.5338987438099614,2.401111782929142,47.651056429575206,0.8372712765599586,COMPLETE
160,1.7543268379330357,2026-02-12 23:50:37.402985,2026-02-12 23:50:58.198583,0 days 00:00:20.795598,0.567142263071303,751,8.186094661776508,depthwise,0.005801872119313709,8,6,,3.3516296402110193,2.242214385159824,50.681830367690125,0.8413835856864909,COMPLETE
161,1.7543546265294736,2026-02-12 23:50:37.966151,2026-02-12 23:51:00.096874,0 days 00:00:22.130723,0.572844630209401,746,8.138269449605371,depthwise,0.005797569726791926,7,6,,0.29869883698753097,2.265236623488385,47.99034429641568,0.8407711175400001,COMPLETE
162,1.754720667902989,2026-02-12 23:50:45.008462,2026-02-12 23:51:08.673878,0 days 00:00:23.665416,0.5724770047911755,775,8.362605626482223,lossguide,0.005687904784426293,7,6,45.0,2.1612889525527406,1.1010997036102896,48.571394594915766,0.8380290881592416,COMPLETE
163,1.7555204828278907,2026-02-12 23:50:49.156918,2026-02-12 23:51:13.805101,0 days 00:00:24.648183,0.5127340558346569,740,8.156613024577041,lossguide,0.0057736856552674624,7,6,47.0,3.480766327590283,1.247824930527076,30.532496195497103,0.8400626794829432,COMPLETE
164,1.787430162367155,2026-02-12 23:50:51.646805,2026-02-12 23:51:36.180893,0 days 00:00:44.534088,0.5712355240407945,740,1.9606827249662855,lossguide,0.00686668943510269,7,6,41.0,3.289254399904216,1.7412662813386308,33.03205533371683,0.8394547827199643,PRUNED
165,1.7552041567422865,2026-02-12 23:50:55.380975,2026-02-12 23:51:16.953981,0 days 00:00:21.573006,0.5373758226479857,777,8.129813637934449,depthwise,0.005692262598929611,7,6,,0.3628686264811509,1.0534631288563086,32.55074862329323,0.8383139502283706,COMPLETE
166,1.7546646562877457,2026-02-12 23:50:58.300760,2026-02-12 23:51:21.464071,0 days 00:00:23.163311,0.5786007054121874,749,8.123760897135481,lossguide,0.0067790487027604394,7,6,37.0,2.226781484966058,2.0853554823346228,33.830566208518285,0.839535770464891,COMPLETE
167,1.754558227445809,2026-02-12 23:50:58.413124,2026-02-12 23:51:19.954605,0 days 00:00:21.541481,0.5740446698441912,719,8.118815403020843,depthwise,0.006789248998259382,7,6,,2.1437628466039076,1.698518001984898,80.38824488272346,0.8374465266581809,COMPLETE
168,1.754626519148789,2026-02-12 23:51:00.083339,2026-02-12 23:51:21.329114,0 days 00:00:21.245775,0.5788288803359906,751,7.975753493385189,depthwise,0.006827418944110282,7,6,,3.402512750411363,1.114779232332357,79.31170576303903,0.8462126445110641,COMPLETE
169,1.7547095847473728,2026-02-12 23:51:00.169749,2026-02-12 23:51:22.223388,0 days 00:00:22.053639,0.5685971672248822,749,8.058837919354293,depthwise,0.006612406651562223,7,6,,2.9188447943095572,5.3424283197631555,80.2419494221985,0.8405666844549786,COMPLETE
170,1.754799775604984,2026-02-12 23:51:08.759508,2026-02-12 23:51:29.431460,0 days 00:00:20.671952,0.5743903758737456,748,8.082427900011767,depthwise,0.00690134395034208,7,6,,0.2661498501386883,1.2640715219708762,75.84985110768868,0.8402902967723843,COMPLETE
171,1.7547504153476001,2026-02-12 23:51:13.868983,2026-02-12 23:51:34.425949,0 days 00:00:20.556966,0.5727736454524778,720,8.003173291262414,depthwise,0.00674308658601781,7,6,,2.9940110151155785,0.8559094363683865,76.4768239230722,0.8356896379227722,COMPLETE
172,1.7547719242427602,2026-02-12 23:51:17.044600,2026-02-12 23:51:38.218145,0 days 00:00:21.173545,0.5753219264143558,751,8.378705580546736,depthwise,0.00678344120763441,7,6,,0.2865018809608003,1.928317697473706,78.30423072611231,0.8348510089268251,COMPLETE
173,1.754636631021214,2026-02-12 23:51:20.017901,2026-02-12 23:51:41.088238,0 days 00:00:21.070337,0.5754153955370068,752,8.391315618715009,depthwise,0.006632759765289444,7,6,,2.2240188208422444,1.883584343977988,82.7249794265238,0.8328084361183317,COMPLETE
174,1.754876134434565,2026-02-12 23:51:21.421087,2026-02-12 23:51:43.501461,0 days 00:00:22.080374,0.5727432496575432,754,7.868936811253059,depthwise,0.0068956741916172135,7,6,,2.9831848456184984,1.5730093633342297,83.43235530505515,0.8485046172294508,COMPLETE
175,1.7546643371021948,2026-02-12 23:51:21.541666,2026-02-12 23:51:41.354843,0 days 00:00:19.813177,0.6027722570703791,724,7.80249198139276,depthwise,0.006875759639634134,7,6,,2.96697358084777,1.6203309950849953,76.76632702942986,0.8485255901455709,COMPLETE
176,1.7547451513924082,2026-02-12 23:51:22.284238,2026-02-12 23:51:43.020788,0 days 00:00:20.736550,0.6047403523938456,719,8.726398094273518,depthwise,0.007026772617631304,7,6,,2.233631911508314,0.3080381564254849,43.384231150467265,0.8496003433067985,COMPLETE
177,1.7551177236221365,2026-02-12 23:51:29.498648,2026-02-12 23:51:50.738605,0 days 00:00:21.239957,0.6111882204009147,720,7.830106696637019,depthwise,0.007654411194897123,7,6,,2.199184689370592,0.6958479163927005,46.802580498723266,0.8524938908283403,COMPLETE
178,1.7555950625112187,2026-02-12 23:51:34.505105,2026-02-12 23:51:55.179450,0 days 00:00:20.674345,0.5823824565735942,754,7.793279849744602,depthwise,0.007630083852715009,7,6,,4.578850515825955,2.3706410827061757,42.643956594780164,0.8514734780191624,COMPLETE
179,1.754776107821239,2026-02-12 23:51:36.276715,2026-02-12 23:51:57.657998,0 days 00:00:21.381283,0.5978811838083392,753,7.8192369865905444,depthwise,0.007369794078406282,9,6,,5.104737986147736,1.8258079813117394,88.88887258262983,0.853763615707533,COMPLETE
180,1.755399906299036,2026-02-12 23:51:38.280099,2026-02-12 23:51:59.653383,0 days 00:00:21.373284,0.6041216202847205,716,7.759333407499072,depthwise,0.007294001355092584,9,6,,5.312614045238147,0.5382769547777305,42.167780031036386,0.8526587441725484,COMPLETE
181,1.7556352898554892,2026-02-12 23:51:41.158589,2026-02-12 23:52:02.508985,0 days 00:00:21.350396,0.6002834836346499,719,8.72402045989084,depthwise,0.0073582552732988265,6,6,,2.2089646198523143,0.32826938315293447,44.6225973473185,0.8517186612982041,COMPLETE
182,1.755471401078188,2026-02-12 23:51:41.452248,2026-02-12 23:52:02.382674,0 days 00:00:20.930426,0.6021416379920854,721,7.776246175623962,depthwise,0.007590459794602332,6,6,,4.380017657359649,0.45249588258330564,43.99433885862793,0.8548020981908012,COMPLETE
183,1.7552730151760034,2026-02-12 23:51:43.092323,2026-02-12 23:52:04.853192,0 days 00:00:21.760869,0.5974048994574492,728,7.568268297890458,depthwise,0.007785053855496698,6,6,,5.218542780706635,0.5932382611071232,98.41019024836197,0.8612971369242145,COMPLETE
184,1.7573933337295478,2026-02-12 23:51:43.566366,2026-02-12 23:52:04.384437,0 days 00:00:20.818071,0.6243335483848785,730,7.832073774154091,depthwise,0.00757747660636831,6,6,,4.612353709693441,0.5298823480063813,55.402954016036695,0.8611970057122048,PRUNED
185,1.7554088823629876,2026-02-12 23:51:50.802068,2026-02-12 23:52:12.772709,0 days 00:00:21.970641,0.5943793636760114,735,7.595789814564996,depthwise,0.0074536350854663225,6,6,,10.011139158480416,5.27358926058057,96.04702717293077,0.8596391872717181,COMPLETE
186,1.7563177349237118,2026-02-12 23:51:55.264757,2026-02-12 23:52:16.546654,0 days 00:00:21.281897,0.6264071965168487,732,7.570476021540443,depthwise,0.007254268120178133,6,6,,5.001029988579684,0.6296297988898818,56.3360160407803,0.8611924081391505,COMPLETE
187,1.7554205754110261,2026-02-12 23:51:57.743247,2026-02-12 23:52:18.994889,0 days 00:00:21.251642,0.5960102885391552,733,7.605877223601281,depthwise,0.008164134319927628,6,6,,3.776245477952728,0.4819587719671639,55.05111513019612,0.8611918815213176,COMPLETE
188,1.7554824718223898,2026-02-12 23:51:59.717418,2026-02-12 23:52:21.394940,0 days 00:00:21.677522,0.6240244346126066,735,8.391772081698443,depthwise,0.006454488671413647,6,6,,1.8998293922400034,5.9380263604466865,54.79107120673981,0.8626301216848383,COMPLETE
189,1.755134429000127,2026-02-12 23:52:02.450979,2026-02-12 23:52:24.520055,0 days 00:00:22.069076,0.6201012965491222,734,8.374295159557265,depthwise,0.0065510764313688775,6,6,,3.7613357415388777,5.2924977798432575,55.83294712199823,0.8276069728243267,COMPLETE
190,1.7557497617117601,2026-02-12 23:52:02.603904,2026-02-12 23:52:26.165637,0 days 00:00:23.561733,0.6256059517859187,733,7.5044996467782665,depthwise,0.006530753300517648,6,6,,1.888605851448711,5.3339604484868675,57.93598294014586,0.8273028308927605,COMPLETE
191,1.7546003924588331,2026-02-12 23:52:04.456744,2026-02-12 23:52:27.711790,0 days 00:00:23.255046,0.5604244819984536,774,8.29793735128415,depthwise,0.006613770838354003,7,6,,1.8823804227766812,5.653920384331159,66.77576510382833,0.8293785878974413,COMPLETE
192,1.7681693459231684,2026-02-12 23:52:04.916806,2026-02-12 23:52:22.888913,0 days 00:00:17.972107,0.5830432914932363,799,8.326557823775628,depthwise,0.0755395009795928,7,6,,1.9432765042114197,5.5985250146110594,68.67319778940399,0.8289007457494012,PRUNED
193,1.7550372954610949,2026-02-12 23:52:12.858920,2026-02-12 23:52:35.435058,0 days 00:00:22.576138,0.5613605753734466,800,8.324195247112119,depthwise,0.006445590973187425,7,6,,1.8404436749084006,4.971599699800528,66.20014568183923,0.8290414669086011,COMPLETE
194,1.754985299700778,2026-02-12 23:52:16.632288,2026-02-12 23:52:38.529158,0 days 00:00:21.896870,0.5844961765400565,779,8.324264288101052,depthwise,0.0063850504807003525,7,6,,1.9654603026346025,4.9066142934253305,67.82207319954124,0.8280306014561502,COMPLETE
195,1.754569315812272,2026-02-12 23:52:19.080679,2026-02-12 23:52:42.415881,0 days 00:00:23.335202,0.5603464536031817,799,8.417869141279338,depthwise,0.0065185357099795385,7,6,,1.8216326725334733,5.289410582493526,67.91342200369165,0.7940139950363739,COMPLETE
196,1.7551807030713298,2026-02-12 23:52:21.456944,2026-02-12 23:52:44.360507,0 days 00:00:22.903563,0.5631681107076553,799,8.250234681291953,depthwise,0.006497958002373367,7,6,,2.9372451318174,2.5016051614180967,67.79363965368297,0.8271934748166743,COMPLETE
197,1.7544057213456035,2026-02-12 23:52:22.959201,2026-02-12 23:52:45.842098,0 days 00:00:22.882897,0.5658451233631233,776,8.960128318286214,depthwise,0.006549292429972898,7,6,,2.8956425386540863,2.420719632484387,69.39319198690193,0.7980403286174086,COMPLETE
