number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
10,1.7648604152838459,2026-02-12 23:43:17.401386,2026-02-12 23:43:41.737477,0 days 00:00:24.336091,0.9836986729888351,784,8.97114181892559,lossguide,0.005063825539018561,5,5,272.0,3.7644911595961412,2.9810331561164996e-06,41.083171057035834,0.9027686631685403,COMPLETE
11,1.757827410963611,2026-02-12 23:43:20.184335,2026-02-12 23:43:38.812474,0 days 00:00:18.628139,0.7619531259331656,250,6.257689783411848,depthwise,0.01812390572289031,5,10,,1.0032490587424727,1.6452469586778775e-07,56.78783071951081,0.9511988395540403,COMPLETE
12,1.8316950232611298,2026-02-12 23:43:20.807176,2026-02-12 23:43:42.195685,0 days 00:00:21.388509,0.84285216069709,296,1.3397116004942655,depthwise,0.05488590283419998,4,8,,0.1314194482816652,0.00037410833758280264,0.3152095833621681,0.7884286074047033,COMPLETE
13,1.8293713846942097,2026-02-12 23:43:22.769264,2026-02-12 23:44:23.332851,0 days 00:01:00.563587,0.6529428367791914,565,0.1980315540188471,depthwise,0.010258523548871419,4,10,,7.9284419769918735,7.71819903450714e-06,48.5090163639432,0.9255649218968992,PRUNED
14,1.772506584514536,2026-02-12 23:43:27.781841,2026-02-12 23:43:50.237818,0 days 00:00:22.455977,0.9990105493956632,349,5.678552641935121,lossguide,0.01076399674231678,5,5,340.0,11.253888804835732,2.1384006643914315e-05,0.7871787520866532,0.8794933136824503,COMPLETE
15,1.7618172773065797,2026-02-12 23:43:27.980846,2026-02-12 23:43:54.114959,0 days 00:00:26.134113,0.6190166626633962,389,7.965231452657751,depthwise,0.005820218723347957,1,9,,9.342057161659843,0.09359185232763254,6.285972907731461,0.6766762030127788,COMPLETE
16,1.82119548994498,2026-02-12 23:43:32.577877,2026-02-12 23:44:55.480411,0 days 00:01:22.902534,0.6943521520904048,468,0.47128231191109204,depthwise,0.00652312687029131,10,10,,0.22699354504993643,0.6701597555090018,12.908295083264797,0.6357397426865801,PRUNED
17,1.7650413424034141,2026-02-12 23:43:38.899376,2026-02-12 23:44:07.823641,0 days 00:00:28.924265,0.6503693128661834,788,9.66327165032333,lossguide,0.005162004756648271,10,7,11.0,5.902439080925765,0.04170900590737786,0.011434142611198959,0.5013978496665622,COMPLETE
18,2.9682672440035827,2026-02-12 23:43:41.815154,2026-02-12 23:43:58.688720,0 days 00:00:16.873566,0.6361940225446685,424,7.528246407957872,lossguide,0.010265482228690104,3,8,1.0,4.0206460447502685,0.017188800284287258,0.17283566598488082,0.9578038590716977,COMPLETE
19,1.7712893571311668,2026-02-12 23:43:42.307288,2026-02-12 23:44:01.808477,0 days 00:00:19.501189,0.6695148767670962,456,7.96985990512747,lossguide,0.011034648834949095,6,12,13.0,4.3001453585755325,5.753802128598366,0.010250882019238386,0.9774595499920046,COMPLETE
20,1.7698249558913117,2026-02-12 23:43:42.623856,2026-02-12 23:44:08.666747,0 days 00:00:26.042891,0.6589423108971625,452,7.418219903981798,lossguide,0.01097585700170793,6,12,6.0,3.934100524544127,4.737270248829053,0.03835473824427447,0.5101019916641142,COMPLETE
21,1.807891414742973,2026-02-12 23:43:50.301628,2026-02-12 23:44:15.305456,0 days 00:00:25.003828,0.6475961303594633,455,6.9416275924371895,lossguide,0.011850542776755676,2,7,3.0,3.7066900907978684,3.3121939508887905,0.012853812896611107,0.9958875366462548,PRUNED
22,1.8090852242706492,2026-02-12 23:43:54.179008,2026-02-12 23:44:11.643824,0 days 00:00:17.464816,0.6691176115584923,475,7.070110693524853,lossguide,0.013188171665224277,7,12,3.0,2.960220877469673,0.002689796854572875,0.043473417691554966,0.9960633474630209,COMPLETE
23,1.7722422041240264,2026-02-12 23:43:58.753062,2026-02-12 23:44:23.877393,0 days 00:00:25.124331,0.6686904765795678,483,6.582362022764185,lossguide,0.01582971076443026,7,12,5.0,2.068890077977027,8.639997894838507,0.016840594374284784,0.5296441156034288,PRUNED
24,1.7894928815940085,2026-02-12 23:44:01.896084,2026-02-12 23:44:33.195996,0 days 00:00:31.299912,0.7755996148078624,731,6.563548325107338,lossguide,0.015535258911144198,7,7,143.0,1.782738956374285,0.003208566761025305,18.528601701744243,0.5460021070766232,PRUNED
25,1.7548923831676455,2026-02-12 23:44:07.890490,2026-02-12 23:44:28.716237,0 days 00:00:20.825747,0.5195237797805667,507,6.706375430373899,lossguide,0.014656779223740667,7,7,153.0,1.7067965261831266,6.166642254911206,19.275355318039264,0.9354407403558906,COMPLETE
26,1.7601222707188764,2026-02-12 23:44:08.733635,2026-02-12 23:44:26.756569,0 days 00:00:18.022934,0.5186280851195338,521,6.917065137529213,lossguide,0.016583743688288754,8,7,156.0,1.8431732451820422,1.018240132762578e-08,16.35820856198281,0.9968472423848682,COMPLETE
27,1.760069005882884,2026-02-12 23:44:11.708308,2026-02-12 23:44:30.900131,0 days 00:00:19.191823,0.8076234625038844,710,6.37533606725472,lossguide,0.016971881368097304,2,7,150.0,1.450552100623108,2.297889708781556e-08,21.34990951360645,0.9370013819833493,COMPLETE
28,1.758968865455852,2026-02-12 23:44:15.396283,2026-02-12 23:44:39.504635,0 days 00:00:24.108352,0.5223232990008381,552,8.698340345829605,depthwise,0.007628481566136571,0,9,,1.491309900276301,0.3207234794232049,18.130978481929734,0.6844524314020443,COMPLETE
29,1.7586904767123006,2026-02-12 23:44:23.409879,2026-02-12 23:44:46.375703,0 days 00:00:22.965824,0.5192327669601623,669,8.847682809934366,depthwise,0.007270952343105938,0,9,,1.6784065493684968,1.1464828020905966e-08,13.877082832620044,0.6890236512388268,COMPLETE
30,1.7604805863936797,2026-02-12 23:44:23.961855,2026-02-12 23:44:48.305796,0 days 00:00:24.343941,0.7922546266216882,365,8.734049423062201,depthwise,0.007493837270744465,2,9,,1.67103449239671,0.4736185521662517,17.26985765851194,0.7072012553669893,COMPLETE
31,1.7577702933889758,2026-02-12 23:44:26.842868,2026-02-12 23:44:49.937841,0 days 00:00:23.094973,0.5102274386736707,710,4.475909103500239,lossguide,0.008025089525138744,10,6,144.0,1.0945243422455713,1.5281149015914185e-08,18.536492614595687,0.9425634384211724,COMPLETE
32,1.764445292665412,2026-02-12 23:44:28.800715,2026-02-12 23:45:00.559141,0 days 00:00:31.758426,0.776716611827865,685,4.768804948407327,lossguide,0.007513030057784684,10,9,141.0,1.0970078971579067,0.676697228339821,17.530287067648644,0.848496529244015,COMPLETE
33,1.7650319508945609,2026-02-12 23:44:30.964264,2026-02-12 23:45:00.673402,0 days 00:00:29.709138,0.5114868503970634,586,4.209013427309005,lossguide,0.00734615559932912,10,9,123.0,0.884629640961565,0.38112296226409886,1.954856189277514,0.8457946914854944,COMPLETE
34,1.7632195978368976,2026-02-12 23:44:33.292870,2026-02-12 23:45:05.927650,0 days 00:00:32.634780,0.5087842912416497,618,4.793594405353485,lossguide,0.007962869828845339,10,9,217.0,0.8652009422570994,0.5527823938394838,99.6957029250841,0.8446183729701655,COMPLETE
